FID_1,aet,dtr,eto,frac,lulc,pawc,precip,wy,POINT_X,POINT_Y,POINT_Z
153,788.74172269,680.76923077,1985.30769231,0.40509108,9.65384615,0.15615385,1981.67231164,1158.28434167,751852.88059700000,9246073.25982000000,0.00000000000
154,972.30382996,1230.00000000,2005.82500000,0.50098910,10.15000000,0.16400000,1936.93824463,969.00319977,752996.11731500000,9248065.29554000000,0.00000000000
155,1043.11055964,1148.86363636,2011.40909091,0.53890064,9.61363636,0.16090909,1932.25000832,892.59954834,751758.75502300000,9248887.30107000000,0.00000000000
156,894.31068813,750.00000000,2005.34285714,0.46196923,8.71428571,0.15800000,1940.42342704,1042.01862793,750940.48697500000,9247548.71946000000,0.00000000000
157,828.81526746,588.15789474,2004.02631579,0.42741561,8.05263158,0.15368422,1946.30736662,1110.75573891,749871.87584600000,9248980.89929000000,0.00000000000
158,771.49350836,450.00000000,1978.61538462,0.39329977,9.97435897,0.15000001,2007.61949119,1190.24460387,750022.74741300000,9246589.70373000000,0.00000000000
159,786.73707835,450.00000000,1975.29166667,0.39444867,10.58333333,0.15000001,2059.39418030,1207.73624674,749823.34436000000,9244728.14243000000,0.00000000000
160,803.49581332,450.00000000,1974.78378378,0.40227887,9.70270270,0.15000001,2056.90540211,1193.95946606,748570.00318000000,9246000.22837000000,0.00000000000
161,821.08792689,450.00000000,1994.34782609,0.39768311,10.73913043,0.15000001,2143.92158486,1242.31743970,748298.36034600000,9243455.80060000000,0.00000000000
162,840.97316397,500.00000000,1802.14074074,0.36978148,4.20000000,0.20999999,2064.33911856,1434.46822012,735007.34658600000,9250721.25434000000,0.00000000000
163,849.95168749,500.00000000,1902.77611940,0.39153494,4.07462687,0.20999999,2023.31717147,1321.06149793,738198.83730200000,9250531.29964000000,0.00000000000
164,793.19917951,507.14285714,1789.17857143,0.36174905,5.31428571,0.20928571,1930.95278582,1400.58022330,735455.57046300000,9252809.86382000000,0.00000000000
165,861.00049845,602.56410256,1924.94871795,0.41187928,4.96153846,0.19974358,1942.48473965,1230.29037867,739917.37864200000,9251605.69077000000,0.00000000000
166,952.29936366,1489.24731183,1919.41935484,0.46638420,6.44086022,0.11107527,1833.80828529,1089.99064521,740258.97120900000,9253978.07039000000,0.00000000000
167,897.11309437,1293.81443299,1956.08247423,0.44939160,7.29896907,0.13061855,1854.93144682,1099.87010775,743091.48695800000,9253036.02821000000,0.00000000000
168,811.95870361,500.00000000,1972.16666667,0.39976130,6.20000000,0.20999999,1948.03732910,1219.20867920,742742.42146100000,9250744.30719000000,0.00000000000
169,756.90248575,953.06122449,1972.77551020,0.38547835,8.24489796,0.14265306,1852.34244210,1206.55257369,745236.92209000000,9252861.26006000000,0.00000000000
170,701.54947542,178.94736842,1992.07894737,0.35591766,6.31578947,0.16986842,1895.90894679,1266.76460507,750183.28520200000,9253352.34591000000,0.00000000000
171,602.80811225,100.00000000,2004.00000000,0.31173211,3.00000000,0.16000000,1886.90220812,1330.93110487,749245.27294100000,9251468.56966000000,0.00000000000
172,617.11272678,172.72727273,1996.89610390,0.31639826,5.90909091,0.15740259,1848.37818651,1333.18358503,747644.23783300000,9253326.15003000000,0.00000000000
173,862.27001402,1033.33333333,2004.04166667,0.43346812,7.26388889,0.12666667,1845.45860799,1125.25598738,748528.23171900000,9255153.66448000000,0.00000000000
174,818.25084229,420.00000000,1967.03333333,0.34869510,9.50000000,0.19999999,2360.38033854,1528.00967204,738680.86103000000,9244446.96679000000,0.00000000000
175,759.73678024,262.96296296,1986.18518519,0.33067192,10.07407407,0.18037037,2335.24516240,1537.91148998,740274.89334100000,9244296.60496000000,0.00000000000
176,683.24523358,100.00000000,2006.27906977,0.30296153,11.00000000,0.16000000,2330.23395485,1572.13813533,742474.58814100000,9243336.17613000000,0.00000000000
177,709.91245640,157.14285714,1994.77142857,0.32161614,11.00000000,0.16714285,2255.43543527,1498.43228585,742116.37607500000,9245095.02157000000,0.00000000000
178,840.50369395,482.60869565,1972.82608696,0.37273183,9.47826087,0.20782608,2277.21955673,1414.92434294,740320.21859500000,9245384.52292000000,0.00000000000
179,849.64483473,500.00000000,1958.88888889,0.37322022,9.47222222,0.20999999,2253.50777859,1426.89777968,738795.00549000000,9246367.88318000000,0.00000000000
180,846.45391689,500.00000000,1972.56410256,0.38327331,9.46153846,0.20999999,2168.86974159,1363.69103378,739220.65203800000,9247889.41162000000,0.00000000000
181,884.11868212,500.00000000,1973.51219512,0.40687559,10.39024390,0.20999999,2175.37195717,1289.51218619,741416.15506500000,9246875.40625000000,0.00000000000
182,666.38268573,110.25641026,1981.53846154,0.31515397,11.00000000,0.16128205,2148.06642503,1448.17050406,743639.62427100000,9246584.23896000000,0.00000000000
183,683.82522478,175.86206897,1975.44827586,0.33602179,10.65517241,0.16948275,2027.49913919,1348.84138015,744501.05149700000,9248490.07888000000,0.00000000000
184,614.24481366,100.00000000,1989.86486486,0.31499024,4.78378378,0.16000000,1901.88701238,1335.77053421,747034.38270400000,9251085.44152000000,0.00000000000
185,743.76686808,260.00000000,1977.16666667,0.36633933,10.80000000,0.18000000,1994.77099609,1283.70166829,744000.09035600000,9249480.81194000000,0.00000000000
186,884.84383341,500.00000000,1978.80000000,0.42490140,9.00000000,0.20999999,2036.97865804,1197.52099609,742239.68108900000,9249112.12202000000,0.00000000000
187,889.66976192,500.00000000,1981.10344828,0.41733341,9.58620690,0.20999999,2077.86378216,1242.11827350,740925.19077300000,9248806.75983000000,0.00000000000
188,842.41027493,500.00000000,1980.16666667,0.39463606,7.55555556,0.20999999,2046.32944743,1291.50944689,740167.64611500000,9249559.95636000000,0.00000000000
189,868.67100123,500.00000000,1976.84210526,0.38812900,9.63157895,0.20999999,2159.25737562,1370.12314967,738255.60933800000,9248130.41116000000,0.00000000000
190,911.14748128,500.00000000,1914.72222222,0.36099765,10.53703704,0.20999999,2452.89147949,1612.46351228,733278.16577500000,9244561.04648000000,0.00000000000
191,843.83242890,403.03030303,1941.18181818,0.34708024,10.39393939,0.19787878,2436.03665069,1587.75696911,736957.13688700000,9243475.34295000000,0.00000000000
192,769.34412948,500.00000000,1936.08695652,0.32098487,7.73913043,0.20999999,2379.61738918,1627.21609630,736926.78610800000,9244629.26867000000,0.00000000000
193,733.10251465,500.00000000,1939.00000000,0.31161770,7.00000000,0.20999999,2316.28698730,1620.68801270,737209.47844900000,9245835.42488000000,0.00000000000
194,759.87367350,500.00000000,1953.46666667,0.32864446,6.86666667,0.20999999,2253.84666341,1553.93866374,737283.51523500000,9246773.01806000000,0.00000000000
195,762.38959850,500.00000000,1938.18181818,0.32365714,6.72727273,0.20999999,2278.08088823,1593.51636297,736189.05220500000,9246739.39592000000,0.00000000000
